Title,Authors,Description,Category,Publisher,Publish Date,Price
In the Bedroom,"By Dubus, Andre","The seven stories collected here–including “Killings,” the basis for Todd Field’s award-winning film In the Bedroom–showcase legendary writer Andre Dubus’s sheer narrative mastery in a book of quietly staggering emotional power.A father in mourning contemplates the unthinkable as the only way to allay his grief. A boy must learn to care for his younger brother when their mother leaves the family. A young woman who has never lacked lovers despairs of ever finding love itself, and then makes an accidental discovery that brings her real joy. Culled from Dubus’s treasured collections Selected Stories and Dancing After Hours, these beautiful stories of people at pivotal moments in their lives are some of the most bewitching and profound in American fiction."," Fiction , Media Tie-In",Vintage,"Friday, February 1, 2002",Price Starting at $5.29
Captain Kate,"By Reeder, Carolyn","While the Civil War rages all around them, Kate enlists the aid of her stepbrother Seth to ferry coal from Cumberland, Maryland, to Georgetown for the good of her family. Reprint."," Juvenile Fiction , Historical , United States , General",Avon Camelot,"Saturday, January 1, 2000",Price Starting at $5.29
"Essential Cell Biology, Second Edition","By Roberts, Keith, Alberts, Bruce, Bray, Dennis, Lewis, Julian, Raff, Martin, Alberts, Bruce (EDT), Hopkin, Karen, Johnson, Alexander, and Walter, Peter","This text for undergraduates provides a straightforward explanation of the workings of a living cell, focusing on the ways in which the molecules of the cell, especially the protein, DNA, and RNA molecules, cooperate to create a living system. The text is written to be easily understood by a reader approaching modern biology for the first time, with technical vocabulary reduced to a minimum. This second edition offers a new emphasis on genomes, with an overview of the human genome sequence and new chapters on how genes and genomes evolve and a new chapter on genetics, meiosis, and the molecular basis of heredity. There are also new sections on topics in the news, such as stem cells and cancer. Author information is not given. Annotation ©2004 Book News, Inc., Portland, OR (booknews.com)"," Science , Life Sciences , Molecular Biology",Garland Science/Taylor & Francis Group,"Monday, September 1, 2003",Price Starting at $8.56
Shelves Closets and Cabinets,"By Jones, Peter",,,Times Mirror Magazines,January 1852,Price Starting at $4.99
Lose Weight the Smart Low-Carb Way: 200 High-Flavor Recipes and a 7-Step Plan to Stay Slim Forever,"By Newman, Bettina","From Atkins to The South Beach Diet, low-carb diets have taken the country by storm. But many require that you give up virtually all carbohydrates--even healthy foods like fruits, vegetables, and whole grains.Breakthrough research into how and why low-carb diets work convinced dietitian Bettina Newman that limiting the intake of carbohydrates can lead to safe, healthy weight loss--if it's done right. Teaming up with Prevention, America's premier health magazine, she developed a moderate, nutritionally sound low-carb approach to weight loss.Here she offers her simple, seven-step plan for shedding pounds the smart, healthy low-carb way--along with 200 low-carb recipes for such great-tasting dishes as Whole Grain Pancakes with Berry Cream Syrup, Pesto Chicken Sandwich with Roasted Peppers, Slivered Pork with Vegetables and Pasta, and Cantaloupe Sorbet, everything from snacks, soups, and sandwiches to main-course dishes, easy one-dish dinners, and even desserts!"," Health & Fitness , Diet & Nutrition , Diets",Rodale Books,"Friday, July 1, 2005",Price Starting at $4.99
The Melting Pot and Other Subversive Stories,"By Schwartz, Lynne Sharon","Dramatizing the warfare between people's illusion and truth, fantasies and realities, these stories center on the ways people undermine themselves by obsession and delusion"," Fiction , General",HarperCollins,"Tuesday, September 1, 1987",Price Starting at $18.30
Encyclopedia Brown Keeps the Peace,"By Sobol, Donald J. and Shortall, Leonard","The solutions to ten mysteries solved by Leroy ""Encyclopedia"" Brown are given in a separate section challenging the reader to match wits with the ten-year-old mastermind of Idaville's war on crime."," Juvenile Fiction , Mysteries & Detective Stories",Yearling,"Sunday, August 1, 1982",Price Starting at $5.29
The Chiangs of China,By Elmer T. Clark,,,Abingdon-Cokesbury,"Friday, January 1, 1943",Price Starting at $15.40
Bobby and Jackie: A Love Story,"By Heymann, C. David","From New York Times bestselling author C. David Heymann, an in-depth and controversial look at the much talked about but never fully revealed relationship between Jacqueline Kennedy Onassis and Robert F. Kennedy.Few writers have immersed themselves in the world of the Kennedys as completely or successfully as C. David Heymann, whose Jackie Kennedy Onassis biography, A Woman Named Jackie, reached #1 on the New York Times bestseller list, sold more than a million copies in hardcover, and was hailed by People as the Best Book of 1989. Now he draws on his impressive list of sources and impeccable insight to reveal the truth behind one of the most tantalizing relationships in American history. Readers have long been fascinated by the rumored love affair between Jackie Kennedy and Bobby Kennedy. With Bobby and Jackie, they will finally get behind-closed-doors access to the emotional connection between these two legendary figures. An open secret for decades among Kennedy insiders, their affair emerges from the shadows in an illuminating book that only the author of The Georgetown Ladies’ Social Club and American Legacy could produce. This is the book that readers will be talking about for years to come."," Biography & Autobiography , Rich & Famous",Atria,"Thursday, April 1, 2010",Price Starting at $5.29
Double Trouble,"By Pellowski, Michael",,,Willowisp Pr,"Monday, August 1, 1994",Price Starting at $4.99
"Peanut-Butter Pilgrims (Pee-Wee Scouts, No. 6)","By Delton, Judy and Tiegreen, Alan (ILT)","All the Pee Wee Scouts love to celebrate the holidays, but Thanksgiving is not Molly Duff's favorite one. In fact, Thansgiving is big trouble for Molly.It's not so bad when they visit a turkey farm and Sonny Betz takes a turkey home with him. But when Mrs. Peters, their troop leader, tells them about the Pee Wee Thanksgiving play at the town hall, Molly shivers. She's not an actress! She'll forget all her lines. Everyone will laugh.Pilgrims and Indians.Turkeys going gobble, gobble.When you're a Pee Wee Scout,the show must go on!",,Random House Books for Young Readers,"Saturday, September 1, 2007",Price Starting at $5.29
2061: Odyssey Three,"By Clarke, Arthur C.","Centenarian Heywood Floyd, survivor of two encounters with mysterious monoliths, once again confronts Dave Bowman, an independent HAL, and an unseen alien race"," Fiction , Science Fiction , General",Del Rey,"Sunday, November 1, 1987",Price Starting at $4.99
Deadly Intent,"By Heggan, Christiane","Renowned chef, Abbie DiAngelo finds her world shattered by the arrival of her stepbrother, who tries to blackmail her with evidence proving that her mother is guilty of murder, but when he is murdered and her son, Ben, is kidnapped, Abbie must team up with homicide detective John Ryan to find the truth. Original."," Fiction , Romance , General",MIRA,"Wednesday, January 1, 2003",Price Starting at $5.29
Easy Everyday Cooking (Better Homes & Gardens),By Better Homes and Gardens Books (EDT),"Offers simple recipes for foods including creamy onion dip, Jamaican shrimp, minestrone, mustard-orange pork tenderloin, turkey breast with raspberry salsa, salmon with wilted greens, shrimp curry, vegetable lasagna, and brownies."," Cooking , Methods , Quick & Easy",Better Homes and Gardens,"Wednesday, August 1, 2001",Price Starting at $10.99
"Knights: The Complete Story of the Age of Chivalry, from Historical Fact to Tales of Romance and Poetry","By Hopkins, Andrea","Discusses all areas of knighthood such as its origin, the relationship between the Church and the knight, the role of the knight at peace and at war, and the knight and romance and chivalry"," History , General",Artabras,"Friday, January 1, 1993",Price Starting at $10.99
The Cambridge Biographical Encyclopedia,"By Crystal, David (EDT)","The Cambridge Biographical Encyclopedia is the authoritative single-volume reference work on people, both living and dead. In addition to its thousand or more pages of A-Z entries, the book offers an invaluable Ready Reference section with lists of political leaders and rulers, Nobel Prizewinners, patron saints, sports champions and many more. Acclaimed on its first publication in 1994 as a new kind of biographical reference book, the Encyclopedia is now established as a reliable source of information on over 26,000 people, fully cross-referenced. The book's international coverage and devotion to important figures - both historical and contemporary - in science and the arts as well as sports and popular personalities make it unique. This Second Edition has been comprehensively updated and supplemented with new entries."," Biography & Autobiography , General",Cambridge University Press,"Friday, May 1, 1998",Price Starting at $7.71
Ain't She Sweet?,"By Phillips, Susan Elizabeth","Ain't She Sweet?Not exactly . . .The girl everybody loves to hate has returned to the town she'd sworn to leave behind forever. As the rich, spoiled princess of Parrish, Mississippi, Sugar Beth Carey had broken hearts, ruined friendships, and destroyed reputations. But fifteen years have passed, and life has taught Sugar Beth its toughest lessons. Now she's come home -- broke, desperate, and too proud to show it.The people of Parrish don't believe in forgive and forget. When the Seawillows, Sugar Beth's former girlfriends, get the chance to turn the tables on her, they don't hesitate. And Winnie Davis, Sugar Beth's most bitter enemy, intends to humiliate her in the worst possible way.Then there's Colin Byrne. . . . Fifteen years earlier, Sugar Beth had tried to ruin his career. Now he's rich, powerful, and the owner of her old home. Even worse, this modern-day dark prince is planning exactly the sort of revenge best designed to bring a beautiful princess to her knees.But none of them have reckoned on the unexpected strength of a woman who's learned survival the hard way.  While Sugar Beth's battered heart struggles to overcome old mistakes, Colin must choose between payback and love. Does the baddest girl in town deserve a second chance, or are some things beyond forgiving?Ain't She Sweet? is a story of courage and redemption. . . of friendship and laughter. . . of love and the possibility of happily-ever-after."," Fiction , Romance , General",Avon,"Sunday, February 1, 2004",Price Starting at $5.29
What If? The World's Foremost Military Historians Imagine What Might Have Been,"By Cowley, Robert",,,G. P. Putnam's Sons ,"Friday, January 1, 1999",Price Starting at $5.35
Handcrafted Cards: From Elegant to Whimsical 60 Distinctive Designs to Make,"By Gilchrist, Paige","“The cards...go beyond simple greetings...and are small works of art. Twenty-two designers contributed projects to Gilchrist’s book using collage, fabric, printing, and photocopies decorated and embellished to make one-of-a-kind creations....Recommended for public libraries.”—Library Journal. “This is a beautiful book with handsome, inspiring projects....Easily is one of the top books of the past year.”—RubberStampMadness."," Crafts & Hobbies , Papercrafts",Lark Books,"Saturday, December 1, 2001",Price Starting at $5.29
"Your Garden Homestead on Inches, Yards, or Acres","By Powell, Thomas",,,Houghton Mifflin Co (P),"Saturday, January 1, 1977",Price Starting at $6.24
How to Lose Friends & Alienate People,"By Young, Toby","In 1995 high-flying British journalist Toby Young left London for New York to become a contributing editor at Vanity Fair. Other Brits had taken Manhattan-Alistair Cooke then, Anna Wintour now-so why couldn't he? But things didn't quite go according to plan. Within the space of two years he was fired from Vanity Fair, banned from the most fashionable bar in the city, and couldn't get a date for love or money. Even the local AA group wanted nothing to do with him. How to Lose Friends and Alienate People is Toby Young's hilarious account of the five years he spent looking for love in all the wrong places and steadily working his way down the New York food chain, from glossy magazine editor to crash-test dummy for interactive sex toys. But it's more than ""the longest self-deprecating joke since the complete works of Woody Allen"" (Sunday Times); it's also a seditious attack on the culture of celebrity from inside the belly of the beast. And there's even a happy ending, as Toby Young marries-""for proper, noncynical reasons,"" as he puts it-the woman of his dreams. ""Some people are lucky enough to stumble across the right path straight away; most of us only discover what the right one is by going down the wrong one first.""BEFORE PUBLICATION: ""I'll rot in hell before I give that little bastard a quote for his book.""-Julie Burchill AFTER PUBLICATION: ""A relentlessly brilliant book-a What Makes Sammy Run for the twenty-first century…the funniest, cleverest, most touching new book I've read for as long as I can remember.""-Julie Burchill, The Spectator"," Biography & Autobiography , Editors, Journalists, Publishers",Da Capo Press,"Monday, July 1, 2002",Price Starting at $5.41
Recipes to Lower Your Fat Thermostat: The Official Companion to How to Lower Your Fat Thermostat and the New Neuropsychology of Weight Control,"By Gaunt, Larene",Includes healthy recipes," Cooking , General",Vitality House Intl,"Sunday, March 1, 1992",Price Starting at $4.99
The Religion: A Novel,"By Willocks, Tim","This is what we dream of: to be so swept away, so poleaxed by a book that the breath is sucked right out of us. Brace yourselves. May 1565. Suleiman the Magnificent, emperor of the Ottomans, has declared a jihad against the Knights of Saint John the Baptist. The largest armada of all time approaches the knights' Christian stronghold on the island of Malta. The Turks know the knights as the ""Hounds of Hell."" The knights call themselves ""The Religion."" In Messina, Sicily, a French countess, Carla La Penautier, seeks passage to Malta in a quest to find the son taken from her at his birth twelve years ago. The only man with the expertise and daring to help her is a Rabelaisian soldier of fortune, arms dealer, former janissary, and strapping Saxon adventurer by the name of Mattias Tannhauser. He agrees to accompany the lady to Malta, where, amid the most spectacular siege in military history, they must try to find the boy--whose name they do not know and whose face they have never seen--and pluck him from the jaws of Holy War. The Religion is the first book of the Tannhauser Trilogy, and from the first page of this epic account of the last great medieval conflict between East and West, it is clear we are in the hands of a master. Not since James Clavell has a novelist so powerfully and assuredly plunged readers headlong into another world and time. Anne Rice transformed the vampire novel. Stephen King reinvented horror. Now, in a spectacular tale of heroism, tragedy, and passion, Tim Willocks revivifies historical fiction."," Fiction , Historical",Sarah Crichton Books,"Tuesday, May 1, 2007",Price Starting at $10.99
Money and Marriage: Making It Work Together--A Guide to Smart Money Management and Harmonious Communications,"By Pybrum, Steven",," Family & Relationships , Marriage",Abundance Pub Co,"Sunday, September 1, 1996",Price Starting at $5.29
Timetable of Inventions,"By Desmond, Kevin",Offers a chronological list of nearly four thousand inventions from prehistoric stone axes to the Hubble Space Telescope," Technology & Engineering , General",M. Evans & Company,"Saturday, August 1, 1987",Price Starting at $5.29
Lincoln Nobody Knows (Paper) (American Century),"By Current, Richard Nelson",," Biography & Autobiography , Presidents & Heads of State","Farrar, Straus and Giroux","Wednesday, January 1, 1969",Price Starting at $4.99
Goldengrove: A Novel,"By Prose, Francine","A young girl faces the consequences of sudden loss after the death of her sister. As her parents drift toward their own risky consolations, thirteen-year-old Nico is left alone to grope toward understanding and clarity, falling into a seductive, dangerous relationship with her sister's enigmatic boyfriend. Over one haunted summer, Nico must face that life-changing moment when children realize their parents can no longer help them. She learns about the power of art, of time and place, the mystery of loss and recovery. But for all the darkness at the novel's heart, the narrative itself is radiant with the lightness of summer and charged by the restless sexual tension of teenage life."," Fiction , Psychological",Harper,"Monday, September 1, 2008",Price Starting at $4.99
On the Couch,"By Kwitney, Alisa","After going for more than a year without a date -- a record in New York City -- Marlowe Riddle has finally met a broodingly sexy, sharply intelligent man who is clearly interested in making more than polite conversation. The only problem: Joseph Kain is an NYPD detective clearly under the mistaken impression that Marlowe is a call girl.But while Marlowe does take money for spending time with strangers in her expensive Upper West Side apartment, she's a psychologist -- not Manhattan's answer to the Mayflower Madam! A fact she has no intention of telling Joe ... at least not until she finishes her research project on the ""Behavioral Effects of Disguising Identity.""But Marlowe's not the only one trying to secretively gain information ... and it's becoming increasingly unclear who is seducing whom. Because sometimes the only way to learn what a man really wants ... is to get him on the couch."," Fiction , Contemporary Women",William Morrow Paperbacks,"Tuesday, June 1, 2004",Price Starting at $5.29
Corduroy's Day,"By Freeman, Don and McCue, Lisa","Corduroy, a bear, has two buttons on his overalls, eats three things for breakfast, plays with four trucks, looks at five books, picnics with six friends, shares seven cupcakes, picks eight flowers, feeds nine ducks, and counts ten bubbles in his bath"," Juvenile Fiction , General",Viking Juvenile,"Wednesday, May 1, 1985",Price Starting at $5.29
No Oven Summer Sensations,By Kraft,"Easy-to-make, no-oven recipes for summertime main dishes, sandwiches, side dishes, snacks, and desserts.Every recipe includes a full-color photo of the finished food.Offers tips for cooking shortcuts, kitchen tricks, and garnish ideas."," Cooking , Seasonal",Kraft,"Wednesday, April 1, 1998",Price Starting at $5.29
Harper Collins French Dictionary/French-English English-French: College Edition,By HarperCollins,,,Harpercollins,"Wednesday, August 1, 1990",Price Starting at $4.99
The Reagans: Portrait of a Marriage,"By Edwards, Anne","The Reagans is a penetrating portrayal of one of the most powerful couples of the twentieth century. Distinguished biographer Anne Edwards paints the first in-depth, intimate portrait of the man who became our fortieth president and the woman without whom he might never have reached such heights.It was a dramatic love story from the start: Nancy was always first in Reagan's thoughts and he was paramount in Nancy's actions. But this obsessional love had a darker side for the four Reagan children. Anne Edwards brings the Reagans' dysfunctional family life into sharp focus, along with a fascinating array of supporting players such as Reagan's evangelistic mother, Nelle, Frank Sinatra, and Gerald Ford.Few first ladies had as much power as Nancy Reagan, and few were so widely disliked. Anne Edwards shows a side of her never before revealed---from Nancy's ardent defense of Reagan's interests with both opponents and supporters, to the most difficult battle yet, the struggle to maintain her husband's dignity through his descent into Alzheimer's disease.The Reagans is an original and mesmerizing look at one of America's most important presidential marriages. The Reagans is a penetrating portrayal of one of the most powerful couples of the twentieth century. Distinguished biographer Anne Edwards paints the first in-depth, intimate portrait of the man who became our fortieth president and the woman without whom he might never have reached such heights.It was a dramatic love story from the start: Nancy was always first in Reagan's thoughts and he was paramount in Nancy's actions. But this obsessional love had a darker side for the four Reagan children. Anne Edwards brings the Reagans' dysfunctional family life into sharp focus, along with a fascinating array of supporting players such as Reagan's evangelistic mother, Nelle, Frank Sinatra, and Gerald Ford.Few first ladies had as much power as Nancy Reagan, and few were so widely disliked. Anne Edwards shows a side of her never before revealed---from Nancy's ardent defense of Reagan's interests with both opponents and supporters, to the most difficult battle yet, the struggle to maintain her husband's dignity through his descent into Alzheimer's disease.The Reagans is an original and mesmerizing look at one of America's most important presidential marriages."," Biography & Autobiography , Presidents & Heads of State",St. Martin's Griffin,"Tuesday, June 1, 2004",Price Starting at $5.29
Get Thee to a Punnery,"By Lederer, Richard and Thompson, Bill (ILT)",," Humor , Form , Anecdotes",Laurel,"Friday, December 1, 1989",Price Starting at $8.29
"Undercover Washington: Touring the Sites Where Infamous Spies Lived, Worked, and Loved","By Kessler, Pamela",," Travel , Museums, Tours, Points of Interest",Epm Pubns Inc,"Sunday, March 1, 1992",Price Starting at $5.29
Ship of Dreams,"By Morrissey, Dean","When Joey went to bed that night he was determined to stay awake so he could see the Sandman. His friend, Henry, said that he had seen the Sandman and Joey didn't want to be left out. As he lay in bed, fighting to keep his eyes open, Joey imagined what meeting the Sandman would be like ....Dean Morrissey's charming story follows Joey on his journey through the star-filled night to meet the Sandman, a voyage filled with excitement and delight. Joey sails off in his specially-adapted wagon, the Redd Rocket, on a flight of discovery followed step-by-step in Morrissey's magically vivid realistic paintings. The boy's adventure, his exhilarating fall through the sky and heart-stopping rescue, his discovery of the Sandman's amazing ship and the secrets contained aboard it, all add up to a bedtime experience that children of all ages will cherish again and again."," Juvenile Fiction , Fantasy & Magic",Harry N. Abrams,"Monday, August 1, 1994",Price Starting at $4.99
Dark Places,"By Flynn, Gillian","From the #1 New York Times bestselling author of Gone Girl, and the basis for the major motion picture starring Charlize TheronLibby Day was seven when her mother and two sisters were murdered in  “The Satan Sacrifice of Kinnakee, Kansas.” She survived—and famously  testified that her fifteen-year-old brother, Ben, was the killer.  Twenty-five years later, the Kill Club—a secret society obsessed with  notorious crimes—locates Libby and pumps her for details. They hope to  discover proof that may free Ben.Libby hopes to turn a profit off her  tragic history: She’ll reconnect with the players from that night and  report her findings to the club—for a fee. As Libby’s search takes her  from shabby Missouri strip clubs to abandoned Oklahoma tourist towns,  the unimaginable truth emerges, and Libby finds herself right back where  she started—on the run from a killer."," Fiction , Thrillers , General",Crown,"Saturday, May 1, 2010",Price Starting at $4.99
"3 Days to Vitality: Cleanse Your Body, Clear Your Mind, Claim Your Spirit","By Serure, Pamela","Seeking a fresh start? Feel better fast with this total body-cleansing experience and jump-start your life in just three days!""I know what she has done for me and I can only imagine what her book will do for everyone else.""-- Donna Karan""Pamela Serure is an extraordinary woman of vision and insight. I have the greatest respect for her. She is a woman of rare gifts.""-- Danielle Steel""I got juiced with Pamela and felt great the next day, and the day after that, and the day after that....""-- Christie Brinkley""This much-needed book is invaluable to enhancing one's journey to optimal health.""-- Richard N. Ash, M.D.""Pamela Serure is definitely clicking. On-trend for the new millenium.""-- Faith Popcorn, author of Clicking  and The Popcorn Report"," Health & Fitness , General",Harper Perennial,"Sunday, March 1, 1998",Price Starting at $5.29
The Associated Press Stylebook and Briefing on Media Law,"By Goldstein, Norm (EDT)","More people write for the Associated Press than for any newspaper in the world, and writers have bought more copies of The AP Stylebook than of any other journalism reference. With this essential guide in hand, any writer can learn to communicate with the clarity and professionalism for which the Associated Press is famous. Fully revised and updated, this edition contains over 5,000 A to Z entries--including more than 50 new ones--laying out the AP's rules on grammar, spelling, punctuation, capitalization, abbreviation, and word and numeral usage. Comprehensive and easy to use, The AP Stylebook provides the facts and references necessary to write accurately about the world today: correct names of countries and organizations, Internet language and search techniques, language to avoid, common trademarks, and the unique guidelines for business and sports reporting. The final word on media law, The AP Stylebook also includes an invaluable section dedicated to crucial advice on how writers can guard against libel and copyright infringement. The veritable ""journalist's bible,"" this is the one reference that working writers cannot afford to be without.With more than 50 new entries plus updates of more than 100 others, The AP Stylebook includes such features as:An A to Z listing of guides to capitalization, abbreviation, spelling, numerals, and usage* Internet guidelines* Sports guidelines and style* Business guidelines and style* A guide to punctuation* Supreme Court decisions regarding libel law* Summary of First Amendment rules* The right of privacy* Copyright guidelines* Proofreaders' marks"," Language Arts & Disciplines , Journalism",Basic Books,"Sunday, July 1, 2007",Price Starting at $5.29
Africa: The Challenge of Transformation,"By McCarthy, Stephen","Africa is portrayed by the world's media as a giant disaster area, plagued by civil war, ethnic and tribal conflict, natural and climatic catastrophes, famine and disease. Rural poverty is rife and burgeoning shanty-towns disfigure the outskirts of every African city. Yet travellers, including journalists, people in business and academics, are often struck by the timeless normality of African life and the survival of communities against all odds.This book does not conceal the huge problems, but examines them with empathy and suggests solutions. It stresses the extent to which there has already been positive political, economic and social progress - in particular, the gradual process of democratization and the growth of civil society. People are better educated and trained than ever before, and structural adjustment, despite its often brutal effects, has reduced over-blown state structures in several countries. Aid is now being channelled into stimulating local economic development and is no longer merely a """"top-down"""" exercise. Agricultural production is rising despite the droughts of the early 1990s and there is growing industrialization. This accessible and topical account provides a good introduction to some of the main issues."," Social Science , Sociology , General",I. B. Tauris,"Sunday, January 1, 1995",Price Starting at $4.99
Mrs. Kennedy: The Missing History of the Kennedy Years,"By Leaming, Barbara","Drawing from recently declassified top-secret material, as well as revelatory eyewitness accounts, Secret Service records, and Jacqueline Kennedy's personal letters, bestselling biographer Barbara Leaming answers the question: what was it like to be Mrs. John F. Kennedy during the dramatic thousand days of the Kennedy presidency? Brilliantly researched, Leaming's poignant and powerful chronicle illuminates the tumultuous day-to-day life of a woman who entered the White House at age thirty-one, seven years into a complex and troubled marriage, and left at thirty-four after her husband's assassination. Revealing the full story of the interplay of sex and politics in Washington, Mrs. Kennedy will indelibly challenge our vision of this fascinating woman, and bring a new perspective to her crucial role in the Kennedy presidency."," Biography & Autobiography , Rich & Famous",Free Press,"Tuesday, October 1, 2002",Price Starting at $4.99
The Medici Dagger,"By West, Cameron","WALK THE KNIFE'S EDGE BETWEEN EXCITEMENT AND TERROR....  THE MEDICI DAGGER  Hollywood stuntman Reb Barnett lives on the edge to avoid the nightmares of his past -- until an anonymous phone call pulls him from his world of cinematic illusion and sends him to Italy on a desperate quest where danger and violence are chillingly real. Reb seeks Leonard da Vinci's Circles of Truth, a coded fifteenth century map that will lead him to the Medici Dagger,an ingenious but lethal invention -- a weapon so light and indestructible it's worth a fortune to arms manufacturers. To Reb, the dagger is his only link to his father's suspicious death years ago. But breaking the code means matching wits with Leonardo. And staying alive means evading the killer who haunts Reb's dreams.  Cameron West's pulse-pounding debut novel is fueled with intellectual twists and the roller-coaster thrills of the great classic adventure stories."," Fiction , Action & Adventure",Pocket Star,"Wednesday, September 1, 2004",Price Starting at $5.29
Triathloning for Ordinary Mortals,"By Jonas, Steven",," Sports & Recreation , Triathlon",W W Norton & Co Inc,"Wednesday, January 1, 1986",Price Starting at $5.29
The Da Vinci Deception,"By Lutzer, Erwin W.","2005 Gold Medallion Award finalist! Was Jesus really married to Mary Magdalene? Did they actually have children who intermarried with the French royal family? Has the church been hiding the truth for centuries? In his best-selling work of fictionThe Da Vinci Code, Dan Brown blurs the lines between history and fiction, giving the impression they are one and the same and that Christianity is based on a lie. InThe Da Vinci Deception, Dr. Erwin Lutzer, well-known theologian and pastor of the world-famous Moody Church in Chicago, examines the “facts” behind the best-selling novel, clarifies the issues involved in the deception, and equips readers with the truth."," Religion , Spirituality",Tyndale House Publishers,"Thursday, April 1, 2004",Price Starting at $5.29
The Complete Kodak Book of Photography,"By Tresidder, Jack (EDT)","This guide for beginners and professionals features over one thousand photographs that help explain the hundreds of different aspects of photography, including the creative use of color and light, special effects, and shooting from unusual angles",,Gramercy,"Saturday, July 1, 1995",Price Starting at $7.52
Lord Peter,"By Sayers, Dorothy L.",,,Avon Books,"Thursday, January 1, 1976",Price Starting at $5.29
"The 8th Confession (Women's Murder Club, 8)","By Patterson, James and Paetro, Maxine","Join the Women's Murder Club on an exhilarating thrill ride as love and murder test their friendships like never before.Someone is killing the richest people in the city-and the Women's Murder Club will pay a high price for hunting him. At the party of the year, San Francisco's most glamorous couple is targeted by a killer-and it's the perfect murder. While Detective Lindsay Boxer investigates the high-profile killings, a saintly street preacher is brutally executed. Reporter Cindy Thomas inquires into this neglected case and discovers the victim may have had very dark secrets. As the search for two criminals tests the limits of the Women's Murder Club, Lindsay sees sparks fly between Cindy and Lindsay's partner, Detective Rich Conklin. The Club now faces its toughest challenge: Will love destroy all that the four friends have built?"," Fiction , Mystery & Detective , Women Sleuths",Grand Central Publishing,"Monday, February 1, 2010",Price Starting at $4.99
The Last True Story I'll Ever Tell: An Accidental Soldier's Account of the War in Iraq,"By Crawford, John","In the tradition of Michael Herr's Dispatches, a National Guardsman's account of the war in Iraq.John Crawford joined the Florida National Guard to pay for his college tuition, willingly exchanging one weekend a month and two weeks a year for a free education. But in Autumn 2002, one semester short of graduating and newly married—in fact, on his honeymoon—he was called to active duty and sent to the front lines in Iraq.Crawford and his unit spent months upon months patrolling the streets of Baghdad, occupying a hostile city. During the breaks between patrols, Crawford began recording what he and his fellow soldiers witnessed and experienced. Those stories became The Last True Story I'll Ever Tell—a haunting and powerful, compellingly honest book that imparts the on-the-ground reality of waging the war in Iraq, and marks as the introduction of a mighty literary voice forged in the most intense of circumstances."," Biography & Autobiography , Military",Riverhead Books,"Saturday, April 1, 2006",Price Starting at $4.99
You'll Always Be My Baby,"By Martin, Tony, Evans, Sara, and Shapiro, Tom","It's all about love and family . . .We all want it and need it-a place where love is steady and strong, waiting to hold us close and never let us go. It's called ""family,"" and love sown into families today grows forth with power to overcome any obstacle. Your heartstrings will be pulled as the writers of ""You'll Always Be My Baby"" capture the deep essence of unconditional love being passed down from generation to generation."," Music , Genres & Styles , Pop Vocal",Thomas Nelson Inc,"Wednesday, November 1, 2006",Price Starting at $10.99
Massageworks:  A Practical Encyclopedia of Massage Techniques,"By Lawrence, D Baloti and Harrison, L.","Explains how to use various styles of massage to improve physical fitness, treat health problems, reduce tension, and relieve soreness"," Health & Fitness , General",Perigee Trade,"Friday, July 1, 1983",Price Starting at $5.29
Can't Get There from Here,"By Strasser, Todd","Her street name is Maybe. She lives with a tribe of homeless teens -- runaways and throwaways, kids who have no place to go other than the cold city streets, and no family except for one another. Abused, abandoned, and forgotten, they struggle against the cold, hunger, and constant danger.  With the frigid winds of January comes a new girl: Tears, a twelve-year-old whose mother doesn't believe Tears's stepfather abuses her. As the other kids start to disappear -- victims of violence, addiction, and exposure -- Maybe tries to help Tears get off the streets...if it's not already too late."," Young Adult Fiction , Social Themes , Drugs, Alcohol, Substance Abuse",Simon & Schuster Books for Young Readers,"Saturday, October 1, 2005",Price Starting at $5.29
Complete Book of Dogs,By Rh Value Publishing,,,Gramercy,"Friday, January 1, 1993",Price Starting at $10.99
The River Between Us,"By Peck, Richard","Richard Peck is a master of stories about people in transition, but perhaps never before has he told a tale of such dramatic change as this one, set during the first year of the Civil War. The whole country is changing in 1861-even the folks from a muddy little Illinois settlement on the banks of the Mississippi. Here, fifteen-year-old Tilly Pruitt frets over the fact that her brother is dreaming of being a soldier and that her sister is prone to supernatural visions. A boy named Curry could possibly become a distraction. Then a steamboat whistle splits the air. The Rob Roy from New Orleans docks at the landing, and off the boat step two remarkable figures: a vibrant, commanding young lady in a rustling hoop skirt and a darker, silent woman in a plain cloak, with a bandanna wrapped around her head. Who are these two fascinating strangers? And is the darker woman a slave, standing now on the free soil of Illinois? When Tilly's mother invites the women to board at her house, the whole world shifts for the Pruitts and for their visitors as well. Within a page-turning tale of mystery, adventure, and the civilian Civil War experience, Richard Peck has spun a breathtaking portrait of the lifelong impact that one person can have on another. This is a novel of countless riches."," Juvenile Fiction , Historical , United States , 19th Century",Dial,"Monday, September 1, 2003",Price Starting at $5.29
The Theban Mysteries,"By Cross, Amanda",," Fiction , Mystery & Detective , General",Avon Books,"Thursday, November 1, 1979",Price Starting at $5.29
Intermediate Algebra: Functions and Authentic Applications,"By Lehmann, Jay",," Mathematics , Algebra , Intermediate",Pearson College Div,"Thursday, March 1, 2001",Price Starting at $5.70
